,Tweet,len,metrics,source
68,"@bryanintihar I can't believe you've just completely stop talking about changing the face. You just let it blow over. The performance was laughable. Marvels spiderman 2 better prove this whole ”better facial capture” and ”emotion” you talked about, because otherwise, this is fat fucking bs.",291,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
69,prop hunt in a spiderman game!? https://t.co/AiG2ppI1M6,55,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
70,Spiderman 2 is my favorite non TDK superhero movie. I don't consider TDK a superhero movie because it's a version of batman that's supposed to feel like the real world. https://t.co/FQQqHqBS3l,192,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
71,can we please have Zendaya and tom Holland lip sync battle round 2 when they are promoting spiderman 3?!? https://t.co/6gvB7bfXOk,129,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter Web App
72,I haven't seen the Spiderman cartoon so maybe this dude is perfect for it but...fuck: https://t.co/oiBvvuVa5y,109,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
73,@Blackdreamwet lmfao the whole sony owning spiderman fucked that off lol another dope ps exclusive haha. only thing i like bout xbox be them halo games,151,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
74,"do you like any marvel movies or superhero movies? — i dont really like marvel fr, i like the ""Spiderman:Into the Spiderverse"" movie but im more of a DC fan!  https://t.co/dhM9PxouJ4",182,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
75,"Parker, if you don't get me pictures of a jealous Spiderman, you're fired!",74,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
76,@Heatislap Valhalla hella fun I'm still salty I can't even play with spiderman on avengers 🤣,92,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
77,YEAHHAAAAAAA GONNA WATCH SPIDERMAN LETS GOO,43,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
78,"""...hold the phone. Hold the phone. Spiderman far from home? Hell. Yes. Truce truce. I need to look that up.:",109,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",twittbot.net
79,"God I fucking love spiderman into the spider verse 
It's such a good movie",74,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
80,"""Sometimes I really question whether I'm Spiderman.""",52,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
81,I FEEL LIKE SPIDERMAN,21,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
82,i feel like spiderman~~,23,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
83,I feel like spiderman😎,22,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
84,@Kotaku Should have foucused more on The Avengers and made it SinglePlayer OpenWorld. Maybe they should have even given a Mission where you play as Spiderman,157,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
85,"FUCK KEONHEE DID A SPIDERMAN THING AND AHHHHH I'M SWERVING

@official_ONEUS 
#ONEUS #원어스 
#ONEUS_CRUSH_THE_STAGE",112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
86,FEEL LIKE SPIDERMAN,19,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
87,I FEEL LIKE SPIDERMAN,21,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
88,I FEEL LIKE SPIDERMAN 😭😭😭💔🌷🌷❗️😭😭😭😭🌷🌷🌷😭,38,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
89,i feel like spiderman‼️😩🏳️‍🌈🔥,29,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
90,"@EpicFunnyName ""normalise playing spiderman and elsa's experimental brain surgery in minecraft before sex (gone wrong) (gone sexual)""",133,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
91,@GT_ICON Lmfao Spiderman 3 put me to sleep 😆,44,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
92,“goes against everything spiderman represents” im fucking crying god https://t.co/iYQWrKQAS3,92,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 25, 'quote_count': 0}",Twitter for iPhone
93,"Playing #FIFA21 #FUT Weekend Champions League, also might stream #NBA2k21 #Callofdutycoldwar  #Spiderman #Milesmorales ... pull up. #PS5 of course",146,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Streamlabs Twitter
94,@komal_42 @BoJaneHorselady Do you want to komal as spiderman?,61,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
95,@KozukiDOden Ps4 spiderman,26,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
96,@lamesolly I just wouldn’t believe it until I see it cuz the nigga basically god but Spiderman don’t got god like intimidation but that nigga can kill you wit a punch just like supes,182,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
97,Spiderman https://t.co/ITanZGN7mm,33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPad
98,spiderman has prop hunt pog,27,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
99,Spiderman VS The World,22,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
100,so is spiderman into the spiderverse,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
101,@_pIastichearts spiderman 2 again,33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
102,"GAMES:

NBA 2K21 - PS5 https://t.co/E9RjAt7As6

Spiderman Miles Morales PS5 https://t.co/SF90apioNW

Call of Duty Black Ops Cold War PS5 https://t.co/2WPiRM1rwT

Sackboy https://t.co/fQLHdVOowP

Demon’s Souls PS5 https://t.co/pZIG0jIXBs",236,"{'retweet_count': 19, 'reply_count': 0, 'like_count': 25, 'quote_count': 0}",Twitter for iPhone
103,@_pIastichearts spiderman 2,27,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
104,Tbh someone as strong as spiderman existing irl is way scarier than superman,76,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
105,@_pIastichearts spiderman,25,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
106,@_pIastichearts Spiderman 2,27,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
107,@taeyongsthong HELPSKSHF someone should dress up as spiderman and camila cabello then,85,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
108,i find so much comfort out of spiderman,39,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
109,"@SpiderMan_r This is in poor taste.

This is Buffalo meat, not cow meat. 

The polarization is over Cow meat and you are ADDING fuel to that fire with misinformation.",166,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
110,"Spiderman Homecoming. 

I enjoyed Shazam. But it's not as rewatchable for me. https://t.co/6h5JxLbKBT",101,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
111,@ninthverse tiktok voice im at the pizza hut im at the taco bell im at the combination pizza hut and taco bell re me w she ra and the spiderman game,148,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
112,"Pictures of a patriot Spiderman! NOW, PARKER!",45,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
113,Fuck Spiderman SMH and Batman too for that matter https://t.co/mm2MaU18dU,73,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
114,@thelonewolf28 Spiderman 3 👀 hear me out TDKR put my ass to sleep,65,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
115,Spiderman 2. https://t.co/psfIdGPfNl,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
116,"ur taste???? out of this world. for me i'd say my top 4 would be nightmare on elm street 3, edge of seventeen, spiderman into the spiderverse :)), and superbad https://t.co/Aeq9lASO0X",183,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
117,@_pIastichearts umm ella enchanted??? spiderman??,49,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
118,"Never a boring day in NYC, love you New York!&lt;3 #NYCWallCrawler #spiderman #NYC https://t.co/jnvatOeR1V",106,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",PlayStation®Network
119,Spiderman https://t.co/59JdK6knKa,33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
120,I came to drink cars and take names and You all done getting pictures of Spiderman,82,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
121,Bruh my PS5 crashed while playing Spiderman: Miles Morales yesterday AND today.....what is even going on....,108,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
122,"things I think about all the time: 
céline dion telling deadpool to ‘beat it, spiderman!’ in the ashes mv",105,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
123,"green canvas/painters pants, sum jeans, sexy spiderman shirt, and a miles morales shirt (this is my favorite thing I got :(( I've wanted it for so long its gonna be my new comfort shirt) https://t.co/3Vdbk7RZIw",210,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
124,@BriBreIsHerName A PS5 Black with Spiderman/Assassin's Creed and an extra controller and I'll be set 💯,102,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
125,My Christmas tree is up! #Christmas #Spiderman #Marvel https://t.co/sJiBJqLIfU,78,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
126,@delventotime @SpiderMan_r No one in the middle east eats buffalo meat.  It’s tasteless and hard to cook. Only lamb and cow meat popular.,137,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
127,2 . Spiderman: into the spider verse  💫10 out of 10 💫 https://t.co/1UnUW7SXPm,77,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
128,"A full ass bed. Bruh, you can play Spiderman on PS4... https://t.co/GL3CsIekUU",78,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
129,@DaveFarley1986 @TheKaylaKnapp Chicago 7. I've watched spiderverse maybe 10 times 🤣 It's my favorite spiderman movie,116,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
130,Love that they're  still adding stuff to Spiderman 2018. Behold Spider rider suit #PS4share https://t.co/cR2QNI3d67,115,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",PlayStation®Network
131,"Deleted scene from the Silver Edition #Spiderman (2002) UMD. 

Dir: Sam Raimi. https://t.co/YPnmaqpUOZ",102,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter Web App
132,@gaak_fr @PlayStationFR SpiderMan Miles Morales :3 🥰,52,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
133,"Parker, if you don't get me pictures of Spiderman with The Process Hog, you're fired!",85,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
134,MOVIE FUCK DUDE I JUST WATCHED IT A YEAR &amp; A HALF AGO FUCK JESSE EISENBERG MAN HE FUCKED OVER SPIDERMAN CRAZY WINKLEVOSS TWINS ROWING TRENT,143,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
135,spiderman https://t.co/JMF64QaooS,33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
136,Isn't that Fisk tower? (At least in spiderman PS4/5 ig) https://t.co/3Nl6FCgwFd,79,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
137,"@gokurawt @hey_spiderman Nope, he's actually running away, because he made Kingpin Revy up his fryers.",102,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
